IDSTUD,IDSCHOOL,TOTWGTS,IS18C_plan_capacity,ASDAGE,SEX_female,IS34_lang,prnt_ed_M,IS17G_miss_meals,IS01_prop_sch_time,IS09_comm_modes,IS21_teach_sup,IS18E_adult_help,IS14A,IS14C,IS14K,IS17A,IS17C,IS17E,IS25A,IS25B,IS25C,IS25D,IS25E,IS25F,IS25G,IS25H,IS25J,IT05F_indiv,IT06D_indep,IP13D_prnt_sup,IP21_remote_prep,IP34_locale_size,IP34A_public,IP1G35C_prop_disadvan,IP03_tech
10070112,1007,27.12283384807693,2.0,13.25,1,1,3.0,1.0,1.0,1.0,2.5,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070113,1007,27.12283384807693,2.0,13.5,1,1,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,,2.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070114,1007,27.12283384807693,2.0,13.83,1,1,3.0,1.0,,,3.0,2.0,,,1.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070115,1007,27.12283384807693,2.0,13.5,1,1,2.5,1.0,1.0,2.0,2.75,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070116,1007,27.12283384807693,3.0,12.92,1,1,2.5,1.0,1.0,0.0,3.25,3.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070117,1007,27.12283384807693,3.0,13.25,1,1,3.0,1.0,1.0,3.0,2.25,2.0,3.0,2.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070118,1007,27.12283384807693,1.0,13.25,1,1,4.5,4.0,1.0,2.0,2.75,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070119,1007,27.12283384807693,2.0,12.92,1,1,4.0,1.0,1.0,3.0,3.25,3.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10070120,1007,27.12283384807693,2.0,13.83,1,1,3.0,1.0,3.0,4.0,2.75,3.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.7058823529411766,3.235294117647059,2.0,4.0,2.0,1.0,1.0,2
10080102,1008,16.27118782692308,3.0,12.92,0,1,5.0,3.0,1.0,4.0,3.75,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.181818181818182,3.272727272727273,3.0,4.0,3.0,1.0,1.0,2
10080104,1008,16.27118782692308,3.0,13.5,0,1,4.5,3.0,1.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.181818181818182,3.272727272727273,3.0,4.0,3.0,1.0,1.0,2
